Date,Category,Brand,Name,Subtype,Weight,Check,Lineage,Check2,Check3,Product Name,Qty,Cost,Price,Weight Display,# of Characters,Base File Name,If specials,File Name,If Name Specials,If 50,If 49,No weight name,WebName,EndIndex,description
4/28/2025,FLOWER,CAM,Z3PO PRIVATE RESERVE,Indoor,3.5G,,INDICA,FALSE,FALSE,CAM: Z3PO PRIVATE RESERVE INDICA 3.5G,$32.00,$22.50,$57.14,3.5G,37,CAM_FLOWER_3.5G,,CAM_FLOWER_3.5G,,CAM: Z3PO PRIVATE RESERVE INDICA 3.5G,CAM: Z3PO PRIVATE RESERVE INDICA 3.5G,Cam: Z3Po Private Reserve Indica ,Cam: Z3Po Private Reserve Indica 3.5g,12,
4/28/2025,FLOWER,CAM,DISPLAY Z3PO PRIVATE RESERVE,Indoor,3.5G,,INDICA,FALSE,FALSE,CAM: DISPLAY Z3PO PRIVATE RESERVE INDICA 3.5G,$1.00,$0.01,$0.00,3.5G,45,CAM_FLOWER_3.5G,,CAM_FLOWER_3.5G,,CAM: DISPLAY Z3PO PRIVATE RESERVE INDICA 3.5G,CAM: DISPLAY Z3PO PRIVATE RESERVE INDICA 3.5G,Cam: Display Z3Po Private Reserve Indica ,Cam: Display Z3Po Private Reserve Indica 3.5g,,
4/28/2025,FLOWER,CAM,BRAIN DEAD PRIVATE RESERVE,Indoor,3.5G,,INDICA,FALSE,FALSE,CAM: BRAIN DEAD PRIVATE RESERVE INDICA 3.5G,$64.00,$22.50,$57.14,3.5G,43,CAM_FLOWER_3.5G,,CAM_FLOWER_3.5G,,CAM: BRAIN DEAD PRIVATE RESERVE INDICA 3.5G,CAM: BRAIN DEAD PRIVATE RESERVE INDICA 3.5G,Cam: Brain Dead Private Reserve Indica ,Cam: Brain Dead Private Reserve Indica 3.5g,,
4/28/2025,FLOWER,CAM,DISPLAY BRAIN DEAD PRIVATE RESERVE,Indoor,3.5G,,INDICA,FALSE,FALSE,CAM: DISPLAY BRAIN DEAD PRIVATE RESERVE INDICA 3.5G,$1.00,$0.01,$0.00,3.5G,51,CAM_FLOWER_3.5G,,CAM_FLOWER_3.5G,,CAM: DISPLAY BRAIN DEAD PRIVATE RESERVE INDICA 3.5...,CAM: DISPLAY BRAIN DEAD PRIVATE RESERVE INDICA 3....,Cam: Display Brain Dead Private Reserve Indica ,Cam: Display Brain Dead Private Reserve Indica 3.5g,,
4/28/2025,FLOWER,CAM,ORANGE COOKIE DOUGH,Indoor,7G,,HYBRID,FALSE,FALSE,CAM: ORANGE COOKIE DOUGH HYBRID 7G,$16.00,$35.00,$101.99,7G,34,CAM_FLOWER_7G,,CAM_FLOWER_7G,,CAM: ORANGE COOKIE DOUGH HYBRID 7G,CAM: ORANGE COOKIE DOUGH HYBRID 7G,Cam: Orange Cookie Dough Hybrid ,Cam: Orange Cookie Dough Hybrid 7g,,
4/28/2025,FLOWER,CAM,CHERRY FRITTER PRIVATE RESERVE,Indoor,14G,,HYBRID,FALSE,FALSE,CAM: CHERRY FRITTER PRIVATE RESERVE HYBRID 14G,$16.00,$65.00,$150.99,14G,46,CAM_FLOWER_14G,,CAM_FLOWER_14G,,CAM: CHERRY FRITTER PRIVATE RESERVE HYBRID 14G,CAM: CHERRY FRITTER PRIVATE RESERVE HYBRID 14G,Cam: Cherry Fritter Private Reserve Hybrid ,Cam: Cherry Fritter Private Reserve Hybrid 14g,,
4/28/2025,FLOWER,CAM,BRAIN DEAD PRIVATE RESERVE,Indoor,14G,,INDICA,FALSE,FALSE,CAM: BRAIN DEAD PRIVATE RESERVE INDICA 14G,$16.00,$65.00,$150.99,14G,42,CAM_FLOWER_14G,,CAM_FLOWER_14G,,CAM: BRAIN DEAD PRIVATE RESERVE INDICA 14G,CAM: BRAIN DEAD PRIVATE RESERVE INDICA 14G,Cam: Brain Dead Private Reserve Indica ,Cam: Brain Dead Private Reserve Indica 14g,,
4/28/2025,FLOWER,CAM,92 OG PRIVATE RESERVE,Indoor,14G,,INDICA,FALSE,FALSE,CAM: 92 OG PRIVATE RESERVE INDICA 14G,$16.00,$65.00,$150.99,14G,37,CAM_FLOWER_14G,,CAM_FLOWER_14G,,CAM: 92 OG PRIVATE RESERVE INDICA 14G,CAM: 92 OG PRIVATE RESERVE INDICA 14G,Cam: 92 Og Private Reserve Indica ,Cam: 92 Og Private Reserve Indica 14g,,
4/28/2025,FLOWER,CAM,ORANGE COOKIE DOUGH PRIVATE RESERVE,Indoor,14G,,HYBRID,FALSE,FALSE,CAM: ORANGE COOKIE DOUGH PRIVATE RESERVE HYBRID 14G,$16.00,$65.00,$150.99,14G,51,CAM_FLOWER_14G,,CAM_FLOWER_14G,,CAM: ORANGE COOKIE DOUGH PRIVATE RESERVE HYBRID 14...,CAM: ORANGE COOKIE DOUGH PRIVATE RESERVE HYBRID 1...,Cam: Orange Cookie Dough Private Reserve Hybrid ,Cam: Orange Cookie Dough Private Reserve Hybrid 14g,,
4/28/2025,FLOWER,CAM,BUBBA'S GIRL PRIVATE RESERVE,Indoor,14G,,INDICA,FALSE,FALSE,CAM: BUBBA'S GIRL PRIVATE RESERVE INDICA 14G,$16.00,$65.00,$150.99,14G,44,CAM_FLOWER_14G,,CAM_FLOWER_14G,,CAM: BUBBA'S GIRL PRIVATE RESERVE INDICA 14G,CAM: BUBBA'S GIRL PRIVATE RESERVE INDICA 14G,Cam: Bubba'S Girl Private Reserve Indica ,Cam: Bubba'S Girl Private Reserve Indica 14g,,
4/28/2025,FLOWER,CAM,KUSH MINTS PRIVATE RESERVE,Indoor,14G,,HYBRID,FALSE,FALSE,CAM: KUSH MINTS PRIVATE RESERVE HYBRID 14G,$16.00,$65.00,$150.99,14G,42,CAM_FLOWER_14G,,CAM_FLOWER_14G,,CAM: KUSH MINTS PRIVATE RESERVE HYBRID 14G,CAM: KUSH MINTS PRIVATE RESERVE HYBRID 14G,Cam: Kush Mints Private Reserve Hybrid ,Cam: Kush Mints Private Reserve Hybrid 14g,,
4/28/2025,FLOWER,CAM,SCOTTIE'S CAKE PRIVATE RESERVE,Indoor,14G,,INDICA,FALSE,FALSE,CAM: SCOTTIE'S CAKE PRIVATE RESERVE INDICA 14G,$16.00,$65.00,$150.99,14G,46,CAM_FLOWER_14G,,CAM_FLOWER_14G,,CAM: SCOTTIE'S CAKE PRIVATE RESERVE INDICA 14G,CAM: SCOTTIE'S CAKE PRIVATE RESERVE INDICA 14G,Cam: Scottie'S Cake Private Reserve Indica ,Cam: Scottie'S Cake Private Reserve Indica 14g,,
4/28/2025,FLOWER,CAM,WEDDING CAKE PRIVATE RESERVE,Indoor,14G,,INDICA,FALSE,FALSE,CAM: WEDDING CAKE PRIVATE RESERVE INDICA 14G,$16.00,$65.00,$150.99,14G,44,CAM_FLOWER_14G,,CAM_FLOWER_14G,,CAM: WEDDING CAKE PRIVATE RESERVE INDICA 14G,CAM: WEDDING CAKE PRIVATE RESERVE INDICA 14G,Cam: Wedding Cake Private Reserve Indica ,Cam: Wedding Cake Private Reserve Indica 14g,,